"Food","Enter","Edu","Trans","Work","House","Oth"
0.045,0.071,0.589,0.175,0.005,0.105,0.01
0.034,0.047,0.589,0.159,0.005,0.16,0.007
0.153,0.043,0.002,0.148,0.215,0.249,0.19
0.16,0.033,0.002,0.315,0.116,0.226,0.149
0.047,0.045,0.611,0.171,0.003,0.116,0.007
0.141,0.026,0.002,0.245,0.139,0.338,0.108
0.142,0.058,0.002,0.137,0.157,0.229,0.276
0.172,0.017,0.064,0.114,0.068,0.435,0.129
0.048,0.044,0.616,0.163,0.004,0.119,0.007
0.052,0.057,0.564,0.195,0.004,0.121,0.008
0.13,0.043,0.002,0.234,0.073,0.314,0.203
0.218,0.01,0.098,0.145,0.1,0.359,0.071
0.044,0.074,0.601,0.164,0.004,0.103,0.011
0.199,0.021,0.097,0.047,0.068,0.409,0.159
0.204,0.023,0.047,0.112,0.097,0.344,0.173
0.217,0.024,0.12,0.055,0.068,0.334,0.183
0.088,0.062,0.002,0.189,0.098,0.256,0.305
0.215,0.013,0.12,0.106,0.083,0.364,0.098
0.098,0.05,0.001,0.222,0.168,0.226,0.236
0.172,0.044,0.002,0.252,0.098,0.23,0.202
0.033,0.051,0.615,0.212,0.004,0.078,0.007
0.163,0.032,0.002,0.274,0.103,0.293,0.133
0.149,0.031,0.002,0.24,0.081,0.363,0.133
0.163,0.031,0.002,0.266,0.201,0.211,0.126
0.188,0.029,0.002,0.184,0.134,0.341,0.122
0.04,0.077,0.564,0.198,0.004,0.107,0.011
0.138,0.025,0.002,0.234,0.118,0.389,0.094
0.153,0.031,0.002,0.251,0.166,0.273,0.125
0.031,0.063,0.602,0.166,0.005,0.123,0.009
0.101,0.054,0.002,0.244,0.072,0.27,0.257
0.034,0.046,0.568,0.21,0.004,0.131,0.007
0.053,0.064,0.481,0.255,0.004,0.134,0.009
0.168,0.024,0.002,0.298,0.184,0.226,0.098
0.136,0.033,0.002,0.228,0.152,0.301,0.149
0.047,0.067,0.538,0.16,0.006,0.172,0.01
0.053,0.072,0.573,0.212,0.005,0.075,0.01
0.116,0.025,0.002,0.301,0.136,0.331,0.089
0.036,0.073,0.522,0.183,0.005,0.17,0.01
0.036,0.067,0.614,0.107,0.006,0.16,0.01
0.14,0.042,0.001,0.267,0.152,0.197,0.201
0.22,0.023,0.002,0.272,0.096,0.301,0.085
0.162,0.033,0.002,0.209,0.145,0.307,0.143
0.038,0.052,0.663,0.118,0.003,0.119,0.008
0.25,0.02,0.103,0.039,0.093,0.347,0.147
0.158,0.021,0.093,0.084,0.133,0.351,0.16
0.277,0.017,0.086,0.119,0.057,0.319,0.125
0.053,0.078,0.583,0.185,0.004,0.085,0.011
0.092,0.038,0.002,0.239,0.148,0.321,0.16
0.063,0.113,0.381,0.238,0.005,0.184,0.016
0.032,0.062,0.61,0.164,0.004,0.12,0.009
0.138,0.043,0.002,0.242,0.122,0.251,0.201
0.191,0.015,0.113,0.057,0.107,0.403,0.113
0.018,0.035,0.002,0.255,0.205,0.33,0.156
0.045,0.057,0.564,0.171,0.005,0.15,0.008
0.04,0.077,0.505,0.184,0.005,0.178,0.011
0.215,0.041,0.002,0.238,0.113,0.204,0.188
0.043,0.056,0.545,0.183,0.005,0.161,0.008
0.028,0.057,0.675,0.135,0.005,0.091,0.008
0.156,0.042,0.002,0.292,0.164,0.153,0.192
0.14,0.043,0.002,0.227,0.158,0.232,0.199
0.156,0.017,0.127,0.128,0.086,0.355,0.131
0.128,0.033,0.002,0.297,0.156,0.245,0.139
0.046,0.101,0.461,0.256,0.007,0.115,0.014
0.028,0.071,0.515,0.166,0.008,0.202,0.01
0.045,0.067,0.691,0.144,0.005,0.038,0.01
0.2,0.018,0.105,0.068,0.079,0.398,0.133
0.143,0.042,0.002,0.248,0.107,0.263,0.195
0.029,0.062,0.667,0.153,0.003,0.077,0.009
0.034,0.041,0.575,0.197,0.005,0.143,0.006
0.202,0.012,0.103,0.112,0.106,0.373,0.092
0.221,0.025,0.072,0.086,0.121,0.282,0.193
0.272,0.022,0.155,0.045,0.125,0.22,0.162
0.169,0.035,0.002,0.199,0.143,0.298,0.154
0.157,0.018,0.074,0.055,0.094,0.464,0.137
0.089,0.052,0.002,0.188,0.135,0.284,0.249
0.051,0.065,0.505,0.201,0.003,0.165,0.009
0.245,0.022,0.065,0.068,0.082,0.349,0.168
0.225,0.019,0.102,0.119,0.107,0.286,0.142
0.044,0.054,0.626,0.131,0.005,0.132,0.008
0.035,0.072,0.54,0.201,0.005,0.136,0.01
0.071,0.082,0.521,0.203,0.009,0.103,0.012
0.157,0.045,0.002,0.192,0.118,0.281,0.205
0.051,0.068,0.487,0.24,0.004,0.141,0.01
0.078,0.046,0.002,0.257,0.124,0.278,0.215
0.098,0.04,0.002,0.225,0.151,0.302,0.184
0.044,0.076,0.491,0.183,0.007,0.19,0.011
0.04,0.071,0.672,0.126,0.004,0.077,0.01
0.055,0.082,0.441,0.203,0.006,0.202,0.012
0.042,0.051,0.515,0.287,0.005,0.094,0.007
0.058,0.084,0.484,0.267,0.008,0.087,0.012
0.03,0.072,0.682,0.138,0.005,0.063,0.01
0.093,0.035,0.002,0.322,0.175,0.219,0.155
0.147,0.038,0.002,0.171,0.109,0.36,0.172
0.112,0.035,0.002,0.187,0.13,0.389,0.146
0.135,0.04,0.002,0.245,0.107,0.288,0.184
0.142,0.041,0.002,0.197,0.184,0.25,0.184
0.032,0.07,0.59,0.178,0.004,0.115,0.01
0.196,0.017,0.064,0.102,0.1,0.396,0.126
0.163,0.031,0.002,0.263,0.065,0.348,0.128
0.118,0.038,0.002,0.325,0.11,0.238,0.169
0.053,0.071,0.503,0.209,0.005,0.15,0.01
0.049,0.055,0.555,0.199,0.004,0.13,0.008
0.052,0.077,0.549,0.194,0.007,0.11,0.011
0.198,0.034,0.002,0.182,0.149,0.286,0.149
0.038,0.062,0.587,0.209,0.006,0.089,0.009
0.116,0.026,0.002,0.271,0.171,0.313,0.101
0.162,0.055,0.002,0.243,0.083,0.187,0.266
0.21,0.039,0.002,0.218,0.183,0.184,0.164
0.14,0.032,0.002,0.263,0.144,0.285,0.133
0.122,0.037,0.002,0.238,0.177,0.26,0.165
0.05,0.082,0.445,0.194,0.006,0.211,0.012
0.05,0.063,0.609,0.121,0.007,0.141,0.009
0.291,0.017,0.097,0.051,0.107,0.311,0.125
0.176,0.025,0.118,0.102,0.073,0.315,0.192
0.048,0.083,0.494,0.208,0.006,0.149,0.012
0.038,0.06,0.554,0.224,0.003,0.111,0.009
0.221,0.02,0.061,0.085,0.097,0.362,0.153
0.138,0.042,0.002,0.271,0.081,0.271,0.195
0.131,0.027,0.002,0.327,0.129,0.273,0.11
0.166,0.025,0.082,0.087,0.058,0.391,0.191
0.038,0.08,0.554,0.244,0.006,0.067,0.011
0.143,0.016,0.082,0.12,0.102,0.418,0.119
0.117,0.038,0.002,0.251,0.116,0.302,0.175
0.244,0.022,0.079,0.079,0.044,0.367,0.165
0.059,0.056,0.502,0.193,0.006,0.177,0.008
0.135,0.047,0.002,0.209,0.163,0.223,0.223
0.051,0.075,0.475,0.232,0.005,0.152,0.011
0.1,0.042,0.002,0.266,0.117,0.28,0.193
0.08,0.041,0.002,0.273,0.124,0.294,0.187
0.125,0.02,0.07,0.047,0.077,0.509,0.151
0.101,0.039,0.002,0.22,0.153,0.306,0.178
0.208,0.019,0.094,0.076,0.081,0.378,0.143
0.124,0.037,0.002,0.27,0.112,0.283,0.173
0.039,0.07,0.548,0.211,0.006,0.116,0.01
0.048,0.08,0.531,0.204,0.005,0.121,0.011
0.054,0.069,0.362,0.343,0.009,0.152,0.01
0.122,0.022,0.002,0.316,0.155,0.302,0.08
0.037,0.057,0.597,0.18,0.004,0.117,0.008
0.047,0.066,0.569,0.19,0.004,0.115,0.009
0.091,0.046,0.002,0.162,0.136,0.352,0.211
0.19,0.041,0.002,0.231,0.174,0.182,0.18
0.032,0.073,0.579,0.199,0.004,0.103,0.01
0.121,0.037,0.002,0.168,0.176,0.336,0.161
0.151,0.051,0.002,0.198,0.135,0.226,0.238
0.154,0.046,0.002,0.205,0.091,0.286,0.216
0.141,0.039,0.001,0.212,0.15,0.279,0.177
0.139,0.038,0.002,0.279,0.142,0.233,0.167
0.162,0.04,0.002,0.238,0.149,0.223,0.186
0.044,0.058,0.002,0.213,0.127,0.276,0.28
0.295,0.012,0.092,0.043,0.102,0.366,0.089
0.033,0.065,0.526,0.228,0.006,0.133,0.009
0.046,0.073,0.471,0.237,0.005,0.157,0.011
0.048,0.079,0.55,0.173,0.003,0.136,0.011
0.046,0.062,0.554,0.185,0.006,0.137,0.009
0.196,0.032,0.002,0.278,0.188,0.17,0.134
0.038,0.08,0.597,0.157,0.004,0.113,0.011
0.047,0.065,0.527,0.118,0.006,0.227,0.009
0.035,0.092,0.542,0.131,0.004,0.184,0.013
0.179,0.033,0.002,0.264,0.157,0.22,0.145
0.029,0.103,0.528,0.174,0.003,0.15,0.014
0.043,0.068,0.572,0.153,0.005,0.149,0.01
0.05,0.042,0.609,0.182,0.006,0.104,0.006
0.128,0.026,0.002,0.264,0.153,0.33,0.097
0.047,0.077,0.539,0.191,0.005,0.13,0.011
0.042,0.075,0.498,0.218,0.005,0.152,0.011
0.05,0.049,0.574,0.207,0.007,0.107,0.007
0.159,0.045,0.002,0.282,0.118,0.188,0.206
0.036,0.068,0.534,0.236,0.005,0.111,0.01
0.046,0.082,0.53,0.2,0.005,0.125,0.011
0.029,0.047,0.594,0.16,0.004,0.158,0.007
0.144,0.034,0.002,0.18,0.2,0.295,0.145
0.142,0.037,0.002,0.189,0.195,0.27,0.165
0.176,0.023,0.002,0.258,0.148,0.306,0.087
0.04,0.069,0.502,0.195,0.004,0.181,0.01
0.055,0.061,0.557,0.22,0.007,0.092,0.009
0.053,0.074,0.641,0.156,0.004,0.062,0.01
0.222,0.012,0.067,0.063,0.077,0.474,0.085
0.05,0.069,0.574,0.17,0.005,0.123,0.01
0.154,0.041,0.002,0.195,0.095,0.329,0.184
0.171,0.019,0.088,0.089,0.103,0.385,0.145
0.136,0.038,0.002,0.227,0.105,0.32,0.171
0.026,0.087,0.596,0.141,0.006,0.131,0.012
0.173,0.036,0.002,0.217,0.123,0.29,0.158
0.159,0.032,0.002,0.27,0.177,0.225,0.136
0.175,0.037,0.002,0.268,0.148,0.206,0.163
0.16,0.036,0.003,0.188,0.148,0.314,0.151
0.157,0.017,0.11,0.123,0.115,0.354,0.124
0.154,0.03,0.002,0.285,0.068,0.342,0.12
0.158,0.038,0.001,0.204,0.159,0.267,0.172
0.142,0.023,0.002,0.262,0.187,0.297,0.087
0.036,0.073,0.535,0.162,0.004,0.179,0.01
0.045,0.056,0.528,0.255,0.004,0.103,0.008
0.045,0.076,0.556,0.174,0.006,0.131,0.011
0.038,0.058,0.599,0.194,0.004,0.099,0.008
0.045,0.072,0.566,0.174,0.006,0.127,0.01
0.146,0.035,0.002,0.279,0.135,0.256,0.148
0.038,0.065,0.498,0.218,0.006,0.165,0.009
0.104,0.039,0.002,0.28,0.151,0.257,0.167
0.135,0.034,0.002,0.242,0.155,0.291,0.142
0.124,0.038,0.001,0.266,0.144,0.254,0.172
0.109,0.041,0.002,0.273,0.176,0.211,0.188
0.196,0.01,0.065,0.117,0.097,0.445,0.07
0.205,0.031,0.002,0.273,0.112,0.247,0.131
0.126,0.055,0.002,0.17,0.094,0.295,0.259
0.126,0.049,0.002,0.213,0.11,0.264,0.235
0.04,0.078,0.492,0.184,0.006,0.189,0.011
0.154,0.014,0.079,0.115,0.072,0.466,0.101
0.036,0.093,0.469,0.217,0.003,0.169,0.013
0.178,0.04,0.002,0.236,0.093,0.265,0.186
0.149,0.017,0.002,0.31,0.109,0.356,0.057
0.14,0.037,0.002,0.242,0.12,0.295,0.165
0.039,0.06,0.666,0.106,0.003,0.117,0.009
0.095,0.041,0.002,0.263,0.162,0.256,0.182
0.126,0.037,0.002,0.219,0.144,0.305,0.168
0.131,0.03,0.002,0.218,0.171,0.321,0.128
0.037,0.068,0.634,0.151,0.005,0.095,0.01
0.026,0.05,0.56,0.211,0.006,0.139,0.007
0.107,0.037,0.002,0.211,0.114,0.358,0.171
0.14,0.021,0.123,0.098,0.093,0.367,0.158
0.115,0.019,0.002,0.25,0.178,0.378,0.058
0.095,0.03,0.002,0.264,0.178,0.303,0.129
0.192,0.016,0.119,0.118,0.053,0.384,0.118
0.048,0.075,0.508,0.197,0.005,0.156,0.011
0.12,0.052,0.002,0.25,0.12,0.203,0.253
0.137,0.041,0.002,0.251,0.112,0.269,0.188
0.119,0.031,0.002,0.266,0.117,0.329,0.136
0.048,0.081,0.491,0.196,0.005,0.167,0.011
0.172,0.032,0.002,0.251,0.052,0.357,0.135
0.039,0.062,0.552,0.194,0.003,0.14,0.009
0.192,0.023,0.083,0.074,0.086,0.371,0.171
0.197,0.025,0.08,0.115,0.086,0.303,0.194
0.087,0.039,0.002,0.228,0.154,0.314,0.175
0.041,0.049,0.618,0.158,0.006,0.122,0.007
0.029,0.095,0.449,0.217,0.006,0.191,0.013
0.046,0.059,0.562,0.174,0.005,0.146,0.008
0.123,0.043,0.002,0.221,0.125,0.288,0.199
0.056,0.073,0.563,0.175,0.006,0.116,0.01
0.164,0.037,0.002,0.228,0.132,0.271,0.166
0.135,0.046,0.002,0.209,0.127,0.272,0.208
0.077,0.05,0.002,0.286,0.094,0.263,0.23
0.103,0.028,0.002,0.238,0.218,0.296,0.114
0.165,0.025,0.003,0.283,0.128,0.304,0.092
0.146,0.037,0.002,0.271,0.145,0.241,0.158
0.028,0.052,0.613,0.141,0.005,0.154,0.008
0.031,0.055,0.568,0.145,0.003,0.191,0.008
0.035,0.069,0.562,0.189,0.003,0.132,0.01
0.142,0.031,0.002,0.144,0.209,0.339,0.133
0.165,0.014,0.041,0.093,0.085,0.495,0.107
0.057,0.091,0.561,0.104,0.005,0.169,0.013
0.037,0.051,0.578,0.202,0.006,0.12,0.007
0.224,0.025,0.002,0.173,0.172,0.315,0.09
0.116,0.042,0.001,0.217,0.161,0.27,0.192
0.077,0.032,0.001,0.286,0.139,0.321,0.144
0.187,0.048,0.002,0.247,0.128,0.164,0.223
0.045,0.084,0.507,0.225,0.003,0.124,0.012
0.188,0.038,0.002,0.217,0.145,0.245,0.166
0.058,0.046,0.002,0.26,0.122,0.302,0.21
0.161,0.039,0.001,0.184,0.114,0.322,0.178
0.054,0.079,0.477,0.253,0.007,0.119,0.011
0.04,0.053,0.496,0.23,0.005,0.168,0.008
0.113,0.044,0.002,0.205,0.148,0.289,0.201
0.163,0.04,0.002,0.236,0.111,0.264,0.185
0.044,0.05,0.617,0.177,0.005,0.1,0.007
0.044,0.063,0.599,0.165,0.005,0.114,0.009
0.127,0.042,0.001,0.276,0.162,0.201,0.192
0.17,0.026,0.002,0.202,0.156,0.342,0.102
0.041,0.072,0.547,0.146,0.004,0.18,0.01
0.051,0.066,0.624,0.149,0.005,0.096,0.009
0.189,0.039,0.001,0.248,0.097,0.248,0.178
0.046,0.052,0.584,0.17,0.004,0.136,0.007
0.148,0.037,0.001,0.217,0.137,0.29,0.17
0.047,0.064,0.44,0.229,0.005,0.207,0.009
0.15,0.015,0.098,0.088,0.085,0.453,0.112
0.057,0.103,0.482,0.179,0.005,0.16,0.015
0.054,0.037,0.598,0.181,0.006,0.118,0.006
0.168,0.024,0.002,0.174,0.152,0.387,0.093
0.184,0.02,0.117,0.091,0.081,0.352,0.155
0.038,0.047,0.627,0.198,0.006,0.077,0.007
0.161,0.043,0.002,0.273,0.097,0.233,0.191
0.222,0.01,0.082,0.103,0.061,0.455,0.068
0.04,0.088,0.515,0.189,0.006,0.148,0.012
0.044,0.062,0.563,0.148,0.003,0.17,0.009
0.042,0.084,0.481,0.225,0.007,0.148,0.012
0.153,0.039,0.002,0.272,0.094,0.267,0.173
0.183,0.018,0.083,0.113,0.091,0.38,0.133
0.024,0.067,0.562,0.157,0.005,0.175,0.009
0.139,0.031,0.002,0.257,0.174,0.262,0.135
0.039,0.062,0.648,0.124,0.006,0.114,0.009
0.142,0.045,0.002,0.163,0.192,0.244,0.211
0.048,0.073,0.574,0.171,0.003,0.12,0.01
0.132,0.023,0.002,0.239,0.205,0.313,0.086
0.111,0.04,0.002,0.291,0.128,0.243,0.185
0.091,0.045,0.002,0.232,0.19,0.234,0.205
0.162,0.031,0.002,0.263,0.093,0.329,0.121
0.175,0.028,0.002,0.325,0.158,0.195,0.117
0.044,0.055,0.557,0.22,0.007,0.11,0.008
0.138,0.045,0.002,0.218,0.176,0.223,0.198
0.036,0.052,0.721,0.101,0.004,0.078,0.007
0.158,0.019,0.099,0.043,0.104,0.431,0.145
0.146,0.025,0.002,0.243,0.124,0.361,0.098
0.128,0.047,0.002,0.184,0.133,0.283,0.223
0.13,0.052,0.001,0.214,0.093,0.261,0.249
0.127,0.037,0.002,0.228,0.17,0.274,0.162
0.149,0.022,0.002,0.301,0.226,0.22,0.08
0.147,0.04,0.002,0.227,0.128,0.277,0.18
0.034,0.079,0.55,0.17,0.005,0.152,0.011
0.123,0.04,0.002,0.231,0.135,0.287,0.183
0.147,0.032,0.002,0.239,0.119,0.321,0.141
0.101,0.047,0.002,0.18,0.126,0.323,0.222
0.154,0.05,0.002,0.157,0.15,0.257,0.231
0.146,0.044,0.002,0.261,0.113,0.228,0.206
0.125,0.044,0.002,0.262,0.07,0.296,0.201
0.131,0.033,0.002,0.237,0.132,0.317,0.147
0.215,0.024,0.002,0.238,0.224,0.204,0.092
0.132,0.045,0.002,0.216,0.114,0.279,0.213
0.056,0.064,0.504,0.238,0.005,0.125,0.009
0.133,0.036,0.002,0.182,0.175,0.306,0.166
0.304,0.006,0.052,0.095,0.123,0.38,0.04
0.054,0.086,0.523,0.159,0.003,0.164,0.012
0.03,0.046,0.569,0.227,0.004,0.117,0.007
0.181,0.008,0.149,0.108,0.09,0.406,0.058
0.093,0.045,0.002,0.23,0.116,0.301,0.213
0.113,0.036,0.002,0.213,0.223,0.253,0.16
0.173,0.032,0.003,0.27,0.208,0.197,0.117
0.118,0.044,0.002,0.268,0.169,0.197,0.202
0.207,0.014,0.098,0.086,0.135,0.354,0.105
0.174,0.004,0.108,0.106,0.104,0.483,0.021
0.035,0.078,0.572,0.156,0.005,0.144,0.011
0.155,0.042,0.002,0.201,0.159,0.256,0.185
0.037,0.05,0.499,0.297,0.006,0.104,0.007
0.052,0.035,0.566,0.163,0.005,0.175,0.005
0.17,0.033,0.002,0.219,0.189,0.245,0.142
0.041,0.079,0.497,0.187,0.006,0.179,0.011
0.144,0.033,0.002,0.214,0.169,0.298,0.14
0.108,0.042,0.002,0.204,0.132,0.315,0.197
0.165,0.01,0.102,0.088,0.068,0.494,0.073
0.094,0.045,0.002,0.156,0.173,0.316,0.213
0.038,0.057,0.543,0.179,0.005,0.17,0.008
0.179,0.045,0.002,0.144,0.155,0.265,0.211
0.153,0.046,0.002,0.213,0.146,0.233,0.207
0.038,0.076,0.483,0.214,0.006,0.172,0.011
0.158,0.046,0.002,0.255,0.074,0.251,0.214
0.044,0.065,0.535,0.234,0.005,0.108,0.009
0.048,0.07,0.505,0.211,0.005,0.151,0.01
0.124,0.024,0.002,0.264,0.127,0.365,0.093
0.186,0.018,0.083,0.116,0.027,0.432,0.138
0.225,0.016,0.073,0.074,0.062,0.432,0.119
0.057,0.086,0.591,0.144,0.007,0.103,0.012
0.038,0.092,0.528,0.221,0.006,0.101,0.013
0.038,0.07,0.572,0.195,0.005,0.109,0.01
0.241,0.017,0.103,0.037,0.099,0.376,0.127
0.05,0.091,0.418,0.248,0.006,0.175,0.013
0.195,0.018,0.09,0.075,0.089,0.394,0.138
0.04,0.084,0.534,0.247,0.004,0.08,0.012
0.162,0.024,0.065,0.124,0.097,0.342,0.186
0.04,0.057,0.507,0.228,0.003,0.157,0.008
0.094,0.033,0.002,0.283,0.131,0.319,0.138
0.121,0.047,0.002,0.129,0.193,0.291,0.217
0.064,0.059,0.569,0.133,0.004,0.163,0.008
0.115,0.047,0.002,0.298,0.103,0.217,0.219
0.116,0.031,0.001,0.299,0.18,0.236,0.136
0.131,0.017,0.002,0.281,0.186,0.342,0.041
0.04,0.035,0.657,0.139,0.005,0.119,0.005
0.125,0.043,0.002,0.217,0.074,0.341,0.199
0.191,0.028,0.002,0.245,0.145,0.279,0.109
0.044,0.079,0.476,0.202,0.006,0.181,0.011
0.029,0.057,0.573,0.196,0.004,0.133,0.008
0.05,0.076,0.569,0.114,0.005,0.175,0.011
0.04,0.034,0.63,0.171,0.004,0.116,0.005
0.047,0.061,0.583,0.13,0.003,0.169,0.009
0.031,0.087,0.605,0.189,0.004,0.072,0.012
0.183,0.007,0.08,0.108,0.095,0.481,0.046
0.056,0.05,0.584,0.187,0.003,0.113,0.007
0.181,0.036,0.002,0.114,0.192,0.319,0.155
0.035,0.085,0.561,0.143,0.006,0.157,0.012
0.166,0.03,0.001,0.248,0.094,0.331,0.13
0.18,0.021,0.088,0.092,0.068,0.391,0.159
0.037,0.067,0.653,0.108,0.004,0.122,0.01
0.138,0.039,0.002,0.17,0.144,0.33,0.177
0.091,0.023,0.002,0.225,0.132,0.447,0.08
0.046,0.07,0.444,0.254,0.005,0.171,0.01
0.137,0.015,0.002,0.275,0.199,0.326,0.046
0.034,0.092,0.527,0.207,0.006,0.121,0.013
0.227,0.011,0.086,0.1,0.084,0.407,0.084
0.194,0.026,0.003,0.168,0.142,0.369,0.099
0.221,0.017,0.104,0.12,0.086,0.326,0.127
0.092,0.036,0.002,0.286,0.145,0.282,0.158
0.037,0.067,0.554,0.212,0.004,0.117,0.009
0.035,0.062,0.541,0.191,0.003,0.159,0.009
0.207,0.024,0.043,0.081,0.061,0.4,0.183
0.152,0.042,0.002,0.141,0.171,0.295,0.196
0.05,0.061,0.535,0.175,0.004,0.166,0.009
0.037,0.071,0.598,0.123,0.006,0.154,0.01
0.058,0.102,0.52,0.143,0.004,0.159,0.014
0.035,0.04,0.633,0.194,0.005,0.086,0.006
0.033,0.083,0.583,0.152,0.004,0.133,0.012
0.184,0.019,0.1,0.096,0.061,0.398,0.142
0.211,0.015,0.132,0.086,0.086,0.357,0.112
0.138,0.039,0.002,0.237,0.127,0.281,0.176
0.05,0.085,0.554,0.162,0.004,0.133,0.012
0.112,0.042,0.002,0.24,0.15,0.259,0.196
0.056,0.05,0.555,0.203,0.004,0.124,0.007
0.045,0.05,0.587,0.222,0.004,0.085,0.007
0.133,0.038,0.002,0.268,0.089,0.3,0.17
0.163,0.025,0.002,0.241,0.166,0.304,0.098
0.042,0.071,0.555,0.218,0.005,0.099,0.01
0.132,0.037,0.002,0.203,0.111,0.354,0.161
0.153,0.046,0.002,0.182,0.073,0.33,0.213
0.15,0.016,0.082,0.061,0.09,0.485,0.116
0.059,0.073,0.521,0.175,0.007,0.154,0.01
0.12,0.035,0.002,0.24,0.111,0.337,0.156
0.209,0.014,0.121,0.055,0.081,0.421,0.1
0.086,0.046,0.002,0.213,0.087,0.364,0.202
0.149,0.024,0.088,0.044,0.062,0.449,0.184
0.124,0.031,0.002,0.231,0.209,0.277,0.127
0.031,0.071,0.538,0.232,0.005,0.111,0.01
0.15,0.036,0.003,0.169,0.239,0.254,0.149
0.054,0.055,0.594,0.123,0.004,0.162,0.008
0.165,0.03,0.002,0.275,0.165,0.237,0.126
0.056,0.063,0.551,0.194,0.005,0.122,0.009
0.143,0.038,0.002,0.17,0.131,0.345,0.173
0.025,0.053,0.569,0.198,0.004,0.143,0.008
0.278,0.02,0.05,0.076,0.061,0.363,0.152
0.213,0.023,0.002,0.282,0.144,0.256,0.08
0.027,0.068,0.659,0.174,0.004,0.058,0.01
0.137,0.016,0.079,0.109,0.065,0.474,0.12
0.042,0.053,0.555,0.21,0.004,0.129,0.008
0.131,0.045,0.002,0.243,0.126,0.25,0.203
0.133,0.029,0.002,0.242,0.176,0.302,0.116
0.037,0.078,0.489,0.178,0.004,0.202,0.011
0.039,0.066,0.64,0.144,0.004,0.098,0.009
0.049,0.069,0.578,0.162,0.006,0.125,0.01
0.172,0.044,0.002,0.218,0.143,0.218,0.203
0.038,0.071,0.584,0.178,0.006,0.113,0.01
0.204,0.012,0.002,0.275,0.14,0.349,0.019
0.098,0.026,0.002,0.307,0.118,0.349,0.1
0.144,0.042,0.002,0.272,0.092,0.256,0.191
0.031,0.041,0.58,0.223,0.004,0.116,0.006
0.047,0.076,0.447,0.284,0.004,0.131,0.011
0.15,0.039,0.002,0.25,0.124,0.263,0.172
