"DL","VN","PG","CS","ML","DM","HZ","CR","WT"
8.4,234,4,7,1044,"C","N","Def Post",181
8.8,382,5,1,173,"C","N","Sup Del",168
9.3,410,1,11,922,"I","H","Sup Del",125
7.7,191,3,11,445,"C","N","Sup Del",47
6.7,199,2,8,841,"I","N","Sup Del",1
5.4,249,2,3,542,"I","N","Def Post",70
10.4,420,5,9,641,"I","N","Def Post",102
6,354,2,17,300,"C","H","Def Post",176
7.2,347,3,14,842,"C","N","Def Post",323
9.3,346,1,2,537,"I","N","Sup Del",132
8,399,1,2,585,"I","H","Sup Del",71
5.7,369,4,9,821,"C","N","Sup Del",452
8.4,395,1,13,344,"I","N","Sup Del",15
9.3,420,1,6,797,"I","N","Sup Del",135
6.9,380,2,2,828,"C","N","Def Post",56
9.5,229,5,5,692,"I","N","Def Post",52
6.9,373,1,1,481,"C","N","Def Post",107
7.2,286,1,18,900,"C","N","Def Post",87
9,297,2,11,236,"C","H","Sup Del",72
6.1,309,1,8,321,"I","N","Def Post",264
7.9,192,1,11,771,"C","N","Def Post",69
6,255,1,7,1263,"C","N","Sup Del",183
10.3,240,5,16,662,"I","N","Sup Del",48
7.4,484,3,6,341,"C","N","Sup Del",16
12.6,366,4,12,1065,"I","N","Sup Del",4
7.5,412,3,8,308,"C","N","Def Post",221
7.8,402,2,10,305,"C","N","Sup Del",13
6.7,317,3,6,770,"C","N","Def Post",179
9,263,4,10,1757,"C","N","Sup Del",178
7.3,169,3,7,937,"C","N","Def Post",27
7.6,181,1,8,545,"I","N","Sup Del",22
9.6,389,3,9,1221,"C","N","Def Post",18
5.9,440,2,4,521,"I","N","Def Post",225
5.9,331,1,21,35,"C","N","Def Post",166
10.1,356,3,8,1066,"I","N","Sup Del",146
7.8,247,2,12,737,"C","H","Sup Del",104
8.6,262,5,12,519,"C","N","Sup Del",254
5.6,350,1,9,656,"C","N","Def Post",221
11,318,5,10,1457,"C","N","Sup Del",86
8.9,271,2,5,511,"C","N","Sup Del",17
5.7,225,2,10,212,"C","N","Def Post",203
9.6,401,4,11,413,"C","N","Sup Del",146
7.7,389,1,8,331,"C","N","Sup Del",136
6.3,317,2,16,434,"C","N","Def Post",198
8.7,267,3,14,375,"C","N","Sup Del",27
5.8,402,4,1,1167,"C","N","Def Post",332
10,461,3,4,1243,"C","N","Sup Del",90
8.6,354,4,5,1198,"C","N","Sup Del",17
8.4,449,4,6,500,"I","N","Sup Del",113
7.4,248,3,5,509,"I","N","Def Post",102
7.4,314,2,2,873,"C","N","Sup Del",240
8,416,1,4,1117,"C","N","Sup Del",22
9.1,291,4,3,1047,"C","N","Sup Del",116
6.5,337,1,3,863,"C","N","Def Post",271
8.3,235,4,5,126,"I","N","Def Post",69
10.6,442,2,6,808,"C","N","Sup Del",78
6.2,210,1,14,285,"C","N","Def Post",29
8.1,278,2,10,851,"C","N","Sup Del",23
7.9,302,4,7,977,"I","N","Sup Del",61
10.7,278,7,6,490,"I","H","Def Post",62
10.8,212,5,8,464,"C","N","Sup Del",218
10.9,249,6,5,516,"C","N","Def Post",15
4.7,383,1,1,714,"C","N","Sup Del",254
10.8,383,1,9,521,"I","N","Sup Del",18
6.9,327,2,7,454,"C","N","Def Post",164
7.3,371,2,15,97,"I","N","Def Post",51
8.6,424,2,6,910,"C","N","Sup Del",124
9.7,257,3,6,1552,"I","N","Sup Del",79
7,375,2,8,1265,"I","H","Sup Del",194
6.9,400,4,10,914,"C","N","Def Post",104
7.8,332,1,13,632,"C","N","Sup Del",29
6.5,184,1,14,1187,"C","N","Sup Del",12
12.5,384,2,18,1022,"C","N","Sup Del",87
9.3,467,2,10,1067,"I","H","Sup Del",432
7.9,250,3,6,927,"C","N","Sup Del",11
11,303,4,3,1517,"C","N","Sup Del",30
11.6,401,6,15,403,"I","N","Sup Del",5
8.8,301,2,10,369,"C","N","Sup Del",157
9.4,330,3,12,484,"C","N","Sup Del",117
5.2,357,4,2,341,"C","N","Def Post",232
3.4,301,2,15,1777,"C","N","Sup Del",142
10.9,242,2,8,1058,"C","N","Sup Del",72
7.6,270,3,17,592,"C","N","Sup Del",9
6.1,424,3,12,255,"I","N","Def Post",149
5.1,311,3,4,818,"C","N","Def Post",148
7.9,344,1,18,1463,"C","H","Sup Del",6
7.4,143,1,3,963,"C","N","Sup Del",72
9.1,368,3,10,633,"I","N","Def Post",8
8.1,257,1,8,1136,"C","H","Def Post",55
8.7,276,-2,9,671,"C","H","Sup Del",115
7,435,1,8,1109,"C","N","Sup Del",119
7.9,267,1,18,66,"C","N","Sup Del",126
7.7,344,2,18,1054,"C","N","Sup Del",154
9.5,181,4,10,785,"C","N","Def Post",47
9.6,279,5,15,306,"C","H","Def Post",11
8.1,495,2,6,1575,"C","N","Sup Del",10
8.4,331,3,13,874,"C","N","Sup Del",126
10.2,294,3,8,316,"I","N","Sup Del",225
5.9,181,3,4,1062,"I","N","Sup Del",248
7.1,301,1,19,669,"C","N","Sup Del",65
9.1,246,2,8,1119,"C","H","Sup Del",101
9.9,374,1,13,1052,"I","N","Def Post",79
8.9,358,1,5,728,"C","H","Def Post",27
10.2,329,2,10,840,"I","N","Sup Del",153
12.9,397,3,7,1466,"C","N","Sup Del",33
9.9,302,2,3,570,"C","N","Sup Del",50
8.4,329,2,12,215,"C","H","Sup Del",158
10,352,5,17,374,"I","H","Def Post",58
8.5,335,2,14,469,"I","N","Sup Del",152
11.5,299,4,8,1144,"C","N","Def Post",12
6.9,371,2,7,697,"C","N","Sup Del",56
9.4,419,2,15,362,"I","N","Sup Del",60
8.2,257,1,6,329,"C","N","Sup Del",35
9.8,290,6,1,1048,"C","N","Def Post",132
8,308,3,6,228,"I","N","Sup Del",300
8.7,391,2,6,561,"C","N","Sup Del",31
8.1,295,3,14,475,"I","N","Def Post",91
5.4,360,2,12,749,"I","N","Def Post",134
8,417,3,14,596,"C","N","Def Post",179
1.8,337,4,5,1008,"C","N","Def Post",500
8.3,318,1,11,907,"I","H","Def Post",335
8.5,229,1,10,1107,"C","N","Sup Del",7
8.5,415,2,19,582,"C","H","Def Post",17
9.8,331,2,5,928,"C","N","Def Post",1
7.1,401,4,13,1308,"I","N","Def Post",10
9.8,295,5,9,313,"C","H","Def Post",26
3.9,346,1,1,938,"I","N","Def Post",118
8.1,483,2,10,1478,"C","H","Def Post",189
5.8,402,2,2,793,"C","N","Sup Del",50
11.1,281,5,9,762,"C","N","Sup Del",155
9.1,365,3,8,859,"C","N","Sup Del",39
9.5,419,4,10,590,"I","N","Def Post",157
7.7,310,2,3,783,"C","N","Sup Del",103
5.8,419,1,10,1738,"C","N","Sup Del",22
8.5,338,5,3,184,"C","N","Def Post",52
8.5,311,3,11,1190,"C","H","Def Post",145
8.1,281,2,11,519,"I","N","Def Post",10
7.7,365,4,12,216,"C","N","Def Post",191
9.1,282,2,1,598,"C","H","Def Post",299
9.7,304,2,1,557,"C","N","Sup Del",39
10,351,4,17,387,"I","N","Sup Del",53
10,241,3,2,366,"C","N","Sup Del",48
7.6,243,2,13,502,"C","N","Def Post",238
6.3,303,2,7,643,"I","N","Sup Del",317
8.3,351,2,19,260,"C","N","Sup Del",8
7.9,194,3,8,946,"C","N","Sup Del",6
8.7,229,7,3,1807,"C","N","Sup Del",43
8.7,324,3,14,105,"C","N","Sup Del",100
9.1,365,3,14,278,"C","N","Sup Del",172
11.1,368,3,5,782,"I","N","Sup Del",60
8,374,1,5,1057,"C","N","Sup Del",169
9.1,250,7,16,1669,"C","N","Sup Del",183
12,316,4,2,1585,"I","H","Def Post",21
11.3,279,4,2,1547,"C","N","Sup Del",2
9.5,294,2,2,517,"C","H","Sup Del",18
7.2,324,2,9,344,"I","H","Def Post",14
7.2,286,1,16,225,"I","N","Sup Del",72
7.5,294,1,4,733,"C","N","Sup Del",151
9.6,355,4,8,1082,"C","N","Sup Del",93
10.5,256,4,9,1047,"C","H","Def Post",96
8.7,291,3,13,1227,"C","N","Sup Del",31
8.3,321,1,16,552,"I","H","Def Post",12
6.3,213,3,5,420,"C","N","Sup Del",215
7.7,154,2,14,1060,"C","N","Sup Del",123
8.1,389,2,2,608,"C","N","Sup Del",131
6.5,398,5,15,225,"I","N","Def Post",154
10.2,301,5,6,760,"I","N","Sup Del",65
10,386,7,5,805,"C","N","Def Post",10
8,366,1,15,64,"C","N","Sup Del",110
10,430,5,4,791,"C","N","Sup Del",2
7.5,292,1,7,217,"C","N","Def Post",116
6.8,241,1,9,1299,"C","N","Def Post",97
9.1,218,2,16,397,"I","N","Def Post",89
5,249,1,9,1164,"C","N","Sup Del",229
10.5,350,5,24,1318,"I","N","Sup Del",190
9,279,5,7,471,"C","N","Sup Del",52
7.3,371,3,7,298,"C","N","Def Post",31
9.1,428,2,14,803,"C","N","Sup Del",122
8.9,371,5,12,688,"C","N","Def Post",94
8,365,1,10,1413,"I","N","Sup Del",45
8.4,295,1,13,882,"C","H","Sup Del",139
8.5,323,3,7,414,"C","H","Def Post",35
9.5,427,2,7,379,"I","N","Sup Del",20
7.1,302,4,3,1086,"I","N","Def Post",49
10.4,399,2,11,929,"C","H","Sup Del",24
10.3,410,6,17,1128,"C","N","Sup Del",91
7.4,169,3,14,628,"C","N","Sup Del",376
7.6,343,1,9,1946,"C","N","Def Post",53
10.5,457,6,5,1298,"I","N","Def Post",82
8,396,1,7,809,"I","N","Def Post",10
5,327,2,1,1206,"C","N","Def Post",90
9.4,387,3,0,1008,"C","N","Sup Del",60
7.9,300,5,10,716,"I","N","Sup Del",28
7.4,259,4,13,1001,"C","N","Def Post",384
10.8,254,5,16,690,"I","N","Sup Del",90
8.7,249,2,13,1206,"C","N","Sup Del",2
9.7,268,4,4,1218,"I","N","Sup Del",220
8.7,229,2,10,1224,"C","N","Sup Del",167
7.3,360,1,15,112,"I","N","Def Post",78
5.6,358,2,14,905,"C","N","Sup Del",296
6.5,343,1,1,791,"C","H","Def Post",136
7,430,3,8,474,"C","N","Def Post",84
9.2,255,5,4,841,"I","N","Sup Del",140
10.2,348,5,9,479,"C","N","Sup Del",22
7.8,330,4,6,41,"C","N","Def Post",232
4.9,367,3,8,585,"I","N","Def Post",489
6,245,1,20,1488,"I","N","Def Post",205
7,405,2,8,682,"I","N","Sup Del",367
12.1,131,6,5,1455,"C","H","Sup Del",15
8.9,270,1,12,819,"I","H","Def Post",104
7.6,240,1,3,946,"C","N","Sup Del",19
7.6,234,1,20,48,"I","H","Def Post",9
8.5,292,5,13,402,"I","N","Def Post",41
8.2,301,4,11,278,"C","N","Def Post",242
8.1,300,3,8,419,"C","N","Sup Del",363
6.8,391,2,7,382,"C","N","Def Post",121
9.3,422,5,5,743,"C","N","Def Post",52
8.3,204,3,3,265,"I","N","Sup Del",265
8.7,465,3,3,97,"I","N","Sup Del",60
7.6,335,2,4,104,"C","N","Def Post",43
7.3,246,3,9,761,"C","N","Sup Del",192
9.4,349,7,12,843,"C","N","Def Post",291
8.3,205,2,4,716,"C","N","Sup Del",164
10,375,2,1,430,"I","N","Sup Del",63
10.3,291,3,7,1216,"C","N","Sup Del",51
5.8,376,1,3,454,"C","N","Def Post",131
10.2,352,2,10,792,"I","H","Sup Del",78
6.3,213,1,4,760,"C","N","Def Post",113
6.9,370,3,7,383,"C","N","Def Post",161
7,317,4,20,964,"C","N","Sup Del",307
7.8,308,4,6,538,"C","N","Def Post",201
8.8,441,4,4,1691,"C","N","Sup Del",42
9.9,335,4,14,319,"C","N","Sup Del",33
4.8,349,1,4,1117,"C","N","Def Post",122
8.1,322,3,9,391,"C","N","Sup Del",175
6,321,2,4,1867,"C","N","Def Post",236
8.6,256,2,8,1009,"I","N","Sup Del",2
7.9,378,3,4,1309,"C","N","Def Post",43
9.5,229,3,7,309,"C","N","Sup Del",210
5.6,313,1,3,950,"C","N","Def Post",138
8.6,394,4,2,727,"C","H","Sup Del",5
9.9,304,4,12,1037,"C","H","Sup Del",57
9.2,364,1,5,1053,"C","N","Sup Del",101
8.3,316,5,3,1653,"C","N","Sup Del",229
8.7,273,2,4,450,"I","N","Sup Del",126
5.9,349,2,5,156,"C","N","Sup Del",174
9.1,189,3,6,122,"C","N","Sup Del",47
10.7,345,5,12,196,"C","N","Sup Del",81
10.4,297,2,6,824,"C","N","Sup Del",8
9.2,276,3,10,1343,"C","N","Def Post",342
7.9,288,3,13,698,"I","N","Sup Del",27
11.1,260,4,7,305,"I","N","Sup Del",31
5.6,329,1,8,490,"C","N","Sup Del",145
11.6,359,4,7,460,"I","N","Sup Del",1
4.9,456,1,3,613,"C","N","Def Post",355
9.3,229,4,6,499,"I","N","Sup Del",6
6.7,197,1,6,360,"C","N","Sup Del",151
14.4,379,5,7,1511,"I","N","Sup Del",36
7.2,440,3,8,920,"C","N","Sup Del",115
7.5,354,1,8,215,"I","N","Sup Del",153
6.7,272,3,3,487,"C","N","Sup Del",172
10.1,306,1,10,1062,"I","N","Sup Del",68
9.7,298,4,13,469,"I","H","Def Post",21
9.6,326,3,8,636,"C","N","Sup Del",23
8,249,4,9,639,"C","H","Def Post",140
8.5,267,3,7,364,"C","H","Def Post",107
9.5,398,2,5,1587,"C","N","Def Post",112
7.7,424,2,12,371,"C","N","Sup Del",10
7.8,196,3,5,430,"C","N","Sup Del",155
9,376,4,2,694,"I","N","Sup Del",168
8.8,289,3,14,1422,"C","N","Def Post",5
6.9,302,5,7,718,"I","N","Def Post",379
7.8,382,4,13,287,"C","N","Def Post",170
8.7,398,2,3,583,"C","N","Sup Del",89
5.5,405,5,18,822,"C","N","Def Post",231
10.3,325,1,5,423,"C","N","Sup Del",11
8.8,249,4,20,1725,"C","H","Def Post",107
11,247,3,18,887,"C","H","Sup Del",32
8.3,445,3,11,715,"C","N","Sup Del",162
10,297,5,3,556,"C","N","Sup Del",352
10.2,345,6,17,1272,"I","N","Def Post",75
11,338,4,24,933,"C","N","Sup Del",33
8.7,433,3,14,957,"I","N","Sup Del",88
6.2,229,3,4,887,"C","N","Def Post",272
8.6,386,2,11,663,"I","N","Sup Del",2
9.2,213,3,3,220,"C","N","Sup Del",177
7.8,231,2,6,626,"I","N","Sup Del",36
9.3,349,2,16,1448,"C","N","Sup Del",30
8.8,355,4,8,677,"C","H","Def Post",61
10,318,8,16,555,"C","H","Def Post",81
10.3,224,3,2,607,"C","N","Sup Del",102
11.4,361,4,13,320,"I","N","Sup Del",0.1
6.5,367,3,1,798,"C","H","Def Post",71
11,251,4,11,1349,"I","N","Sup Del",259
6.4,466,2,6,510,"C","N","Def Post",265
6.4,263,2,11,284,"C","N","Def Post",88
6.2,415,2,7,701,"C","N","Def Post",4
8.3,321,3,0,1341,"C","N","Sup Del",24
10.1,239,2,14,640,"C","N","Sup Del",59
8.8,298,4,18,422,"I","N","Def Post",214
10,257,9,11,730,"I","N","Def Post",102
7.1,356,3,3,1066,"C","N","Sup Del",62
13.2,340,5,8,916,"I","H","Sup Del",62
12.1,235,4,1,922,"I","H","Sup Del",3
6.5,212,2,2,107,"C","N","Sup Del",151
9.5,295,2,9,192,"C","N","Sup Del",97
8.7,298,4,2,581,"C","N","Sup Del",138
8.3,298,3,7,928,"C","H","Sup Del",20
7.3,269,3,3,485,"C","N","Sup Del",184
11.6,325,5,8,232,"C","N","Sup Del",53
6.9,358,1,1,446,"I","N","Sup Del",22
8.2,233,2,11,545,"I","N","Def Post",124
10.7,487,4,15,1184,"C","N","Sup Del",3
9.4,351,4,13,428,"C","H","Def Post",98
8.2,420,4,3,253,"I","N","Def Post",34
8.9,417,1,20,461,"C","N","Sup Del",2
10.5,335,2,8,1286,"I","N","Sup Del",38
7.5,300,3,6,792,"C","N","Def Post",26
7.9,193,2,1,422,"C","N","Def Post",94
8,138,4,4,525,"C","N","Def Post",14
10,298,5,22,581,"C","N","Sup Del",107
10.1,320,3,14,890,"C","N","Sup Del",84
7.1,292,2,9,1469,"C","N","Def Post",77
9,224,5,3,1519,"C","N","Def Post",58
8.8,352,2,3,743,"C","N","Def Post",6
7.8,321,3,2,575,"I","N","Def Post",94
10.5,273,4,14,1021,"I","N","Sup Del",52
9.5,255,1,3,942,"C","H","Def Post",10
10.4,234,5,19,935,"I","N","Sup Del",72
6.4,319,2,14,133,"C","N","Def Post",159
10.6,85,4,17,528,"I","N","Sup Del",34
5.8,441,1,9,544,"C","N","Def Post",130
9.5,236,3,10,589,"C","N","Sup Del",15
7,347,3,10,740,"I","N","Sup Del",95
8.9,356,5,6,499,"C","N","Def Post",60
9.9,267,6,7,639,"I","N","Def Post",181
9.1,397,3,5,1097,"C","N","Sup Del",28
12.6,324,6,7,405,"C","N","Sup Del",48
7.9,246,4,3,1093,"I","N","Def Post",120
7.7,340,2,9,538,"I","N","Def Post",158
10.5,387,4,19,739,"I","N","Sup Del",72
9.3,302,5,8,447,"I","N","Sup Del",51
7.7,347,2,11,304,"I","N","Def Post",63
9.7,348,5,5,851,"C","H","Sup Del",182
6.1,236,1,11,273,"C","N","Def Post",44
5.8,284,1,8,676,"C","N","Def Post",123
9,389,3,8,291,"C","N","Sup Del",59
8.4,324,4,16,350,"I","N","Def Post",196
10.5,473,6,13,788,"C","H","Def Post",16
7.6,258,3,17,883,"C","N","Sup Del",41
8.2,212,2,18,436,"C","N","Sup Del",3
5.7,228,1,8,1117,"C","N","Def Post",184
9.7,425,5,12,1419,"C","N","Def Post",92
6.7,435,3,14,420,"C","N","Def Post",293
7.9,360,3,16,1181,"C","N","Sup Del",69
12,325,5,12,860,"I","N","Sup Del",116
9.4,362,4,8,1033,"C","N","Def Post",39
8.5,430,6,15,768,"C","N","Def Post",134
4.8,228,1,18,893,"C","N","Sup Del",161
8.6,380,2,13,915,"C","H","Sup Del",102
6.8,184,1,16,262,"C","N","Def Post",106
8.1,349,2,6,286,"I","N","Def Post",171
8.9,356,3,8,1026,"C","N","Sup Del",65
12,301,4,8,895,"C","N","Sup Del",23
5.9,381,4,17,1083,"C","N","Sup Del",11
10.5,341,4,6,344,"C","N","Sup Del",2
9.8,294,5,11,529,"C","N","Sup Del",182
10.3,322,3,17,460,"C","N","Sup Del",104
7.3,134,4,5,363,"C","N","Def Post",256
7.6,257,2,4,603,"I","N","Sup Del",131
8.4,371,3,11,503,"C","N","Sup Del",136
7.8,401,3,12,358,"C","N","Def Post",45
6.4,241,2,8,1158,"C","N","Sup Del",122
7.7,300,1,10,201,"C","N","Def Post",50
8.9,292,3,6,686,"C","H","Sup Del",1
10.7,336,3,4,779,"C","H","Sup Del",15
6.6,388,1,12,337,"C","N","Def Post",8
7.6,388,3,10,1120,"I","N","Def Post",15
6.1,344,3,17,639,"C","N","Def Post",301
7.3,268,4,3,424,"C","N","Def Post",211
14.3,324,8,19,1306,"C","N","Sup Del",5
8,318,1,4,501,"C","N","Sup Del",20
8.1,413,4,8,97,"C","N","Sup Del",206
7.4,284,2,3,619,"C","N","Def Post",142
9.2,345,3,9,485,"C","N","Def Post",12
6.9,437,3,15,657,"I","N","Sup Del",404
9,255,1,9,1793,"C","N","Sup Del",13
10.7,252,4,7,316,"I","N","Sup Del",84
11.6,341,5,17,515,"C","N","Sup Del",102
4.5,213,1,17,682,"I","N","Sup Del",398
8.2,270,2,10,1187,"C","N","Sup Del",35
8.5,240,2,3,853,"C","H","Sup Del",227
8.9,223,2,15,757,"C","H","Sup Del",173
5.8,447,3,5,134,"C","N","Def Post",243
7.9,391,4,18,786,"I","N","Def Post",100
9,271,4,20,688,"C","N","Def Post",195
9.1,247,3,7,453,"C","N","Def Post",15
8.8,376,3,6,1390,"C","N","Def Post",59
10.4,356,3,11,873,"I","N","Sup Del",40
8.8,328,3,15,605,"C","N","Sup Del",316
6,357,3,13,1477,"C","N","Sup Del",30
8.9,301,4,6,140,"I","N","Sup Del",46
12,253,4,16,1173,"I","N","Sup Del",31
10.2,267,4,11,1493,"C","N","Sup Del",104
8.3,284,1,14,1712,"I","N","Def Post",184
10.5,333,8,8,1488,"C","N","Def Post",66
11.6,314,2,23,1634,"C","N","Def Post",101
9.1,314,2,10,937,"I","H","Sup Del",61
9.3,305,4,14,1092,"C","N","Def Post",20
8,283,1,4,907,"I","N","Sup Del",199
9.1,334,4,5,1598,"C","N","Def Post",152
9.4,245,3,2,1334,"C","N","Sup Del",172
10.6,133,6,16,779,"C","N","Sup Del",54
8.4,407,3,21,1182,"C","N","Sup Del",51
10.6,183,4,8,778,"C","N","Def Post",64
7.4,285,3,7,444,"C","N","Def Post",12
10,353,2,7,345,"C","H","Sup Del",12
8.1,297,3,1,800,"C","H","Sup Del",206
